Region,Colour,Population,GDP
South Moravian,#e7298a,1169788,12117
South Bohemian,#66a61e,637460,6399
Karlovy Vary,#e7298a,310245,2789
Vysocina,#7570b3,512727,5142
Hradec Kralove,#d95f02,555683,5670
Liberec,#66a61e,439262,4004
Moravian-Silesian,#e7298a,1236028,11878
Olomouc,#e6ab02,639946,5696
Pardubice,#66a61e,505285,4944
Plzen,#d95f02,574694,5846
Prague,#e6ab02,1272690,27031
Central Bohemian,#e7298a,1274633,12246
Zlin,#66a61e,590459,5586
Usti nad Labem,#7570b3,830371,7971
