Department,Colour,Population,Population (2000) (People)
Chuquisaca,#d95f02,637013,551401
Cochabamba,#7570b3,2028639,1483641
Beni,#66a61e,480308,366864
La Paz,#d95f02,2926996,2415081
Oruro,#e7298a,551116,413600
Pando,#e7298a,154355,52857
Potosi,#1b9e77,901555,742015
Santa Cruz,#e6ab02,3370059,2004753
Tarija,#7570b3,583330,397578
