Region,Colour,Population,Population (1994) (People)
Addis Abeba,#66a61e,3273000,2112737
Afar,#d95f02,1723000,1106383
Amhara,#7570b3,20401000,13834297
Benshangul-Gumaz,#66a61e,1005000,460459
Dire Dawa,#7570b3,440000,251864
Gambela,#d95f02,409000,181862
Harari,#e6ab02,232000,131139
Oromia,#e7298a,33692000,18732525
Somali,#1b9e77,5453000,3152704
"Southern Nations, Nationalities and Peoples",#e6ab02,18276000,10377028
Tigray,#e6ab02,5056000,3136267
