Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
CENTRAL REGION,CR,3,133.0,922580.0
EAST REGION,ER,2,93.0,685940.0
NORTH REGION,NR,6,135.0,582330.0
NORTH-EAST REGION,NER,4,104.0,930860.0
WEST REGION,WR,1,201.0,922540.0
