Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
"Konya, Karaman",TR52,3,49558,2457522.0
Közép-Dunántúl,HU21,4,11095,1058236.0
Kujawsko-pomorskie,PL61,1,18000,2055433.0
La Réunion,FRY4,0,2509,856547.0
La Rioja,ES23,2,5055,313571.0
Lancashire,UKD4,1,3076,1495318.0
Languedoc-Roussillon,FRJ1,5,27778,2847554.0
Länsi-Suomi,FI19,2,64438,1379749.0
Latvija,LV00,5,64614,1919968.0
Lazio,ITI4,5,17238,5773076.0
"Leicestershire, Rutland and Northamptonshire",UKF2,2,4932,1843764.0
Leipzig,DED3,0,3977,1043293.0
Liechtenstein,LI00,0,162,38378.0
Liguria,ITC3,5,5443,1532980.0
Limburg (NL),NL42,0,2216,1116137.0
Limousin,FRI2,1,17069,728859.0
Lincolnshire,UKF3,3,5943,756920.0
Łódzkie,PL71,0,18199,2453167.0
Lombardia,ITC4,3,23876,10010833.0
Lorraine,FRF3,1,23643,2322213.0
Lubelskie,PL81,4,25145,2097294.0
Lubuskie,PL43,2,13998,1003310.0
Lüneburg,DE93,1,15516,1710914.0
Luxembourg,LU00,2,2605,613894.0
"Malatya, Elazığ, Bingöl, Tunceli",TRB1,1,37349,1762077.0
Małopolskie,PL93,4,15177,3360545.0
Malta,MT00,4,303,493559.0
"Manisa, Afyonkarahisar, Kütahya, Uşak",TR33,1,45386,3100666.0
Marche,ITI3,3,9397,1520321.0
"Mardin, Batman, Şırnak, Siirt",TRC3,1,25864,2284158.0
Martinique,FRY2,3,1117,364413.0
Mayotte,FRY5,1,334,269186.0
Mazowiecki regionalny,PL92,3,29453,2327207.0
Mecklenburg-Vorpommern,DE80,0,23228,1609675.0
Mellersta Norrland,SE32,4,77057,375733.0
Merseyside,UKD5,3,719,1553324.0
Midi-Pyrénées,FRJ2,2,45577,3071427.0
Midtjylland,DK04,0,13498,1320678.0
Mittelfranken,DE25,3,7253,1770401.0
Molise,ITF2,2,4441,303790.0
Moravskoslezsko,CZ08,4,5452,1203299.0
Münster,DEA3,2,6926,2623619.0
Niederbayern,DE22,4,10323,1238528.0
Niederösterreich,AT12,3,19209,1677542.0
Noord-Brabant,NL41,4,5056,2544806.0
Noord-Holland,NL32,5,3410,2853359.0
Nord-Est,RO21,0,36854,3198564.0
Nord-Norge,NO07,4,111617,589755.0
Nord-Pas de Calais,FRE1,4,12462,486450.0
Nord-Vest,RO11,3,34143,4066719.0
Nordjylland,DK03,5,8105,2552112.0
Nordwestschweiz,CH03,4,1976,1161105.0
Norra Mellansverige,SE31,5,71984,855220.0
Norte,PT11,1,21278,3572583.0
North Eastern Scotland,UKM5,1,6512,495365.0
North Yorkshire,UKE2,4,8346,824054.0
Northern and Western,IE06,5,25645,867947.0
Northern Ireland,UKN0,2,14157,
Northumberland and Tyne and Wear,UKC2,1,5573,1455437.0
Nyugat-Dunántúl,HU22,2,11335,989343.0
Oberbayern,DE21,1,17502,4686163.0
Oberfranken,DE24,4,7251,1067482.0
Oberösterreich,AT31,2,11995,1482095.0
Oberpfalz,DE23,2,9683,1109269.0
Opolskie,PL52,2,9400,946038.0
Oslo og Viken,NO08,1,24970,1949394.0
Östra Mellansverige,SE12,3,43168,1708813.0
Ostschweiz,CH05,1,11514,1176321.0
Outer London — East and North East,UKI5,2,432,1940638.0
Outer London — South,UKI6,3,335,1316772.0
Outer London — West and North West,UKI7,1,457,2103443.0
Overijssel,NL23,0,3428,1156431.0
Övre Norrland,SE33,5,164961,520651.0
País Vasco,ES21,1,7250,2177880.0
Panonska Hrvatska,HR04,2,23197,1046327.0
Pays de la Loire,FRG0,4,32354,3849977.0
Pest,HU52,1,6390,1278874.0
Picardie,FRE2,0,19492,1929189.0
Piemonte,ITC1,2,25379,4328565.0
Podkarpackie,PL82,5,17842,2086135.0
Podlaskie,PL21,5,20194,1152074.0
Pohjois- ja Itä-Suomi,FI1C,0,227090,1284638.0
Poitou-Charentes,FRI3,5,25905,1812353.0
Pomorskie,PL63,3,18131,2305077.0
Praha,CZ01,3,502,1308632.0
Principado de Asturias,ES12,3,10612,1022205.0
