Region,Colour,Population,Population (1998) (People)
Eastern Region,#d95f02,13173,12574
Northeastern Region,#66a61e,30600,26632
Capital Region,#d95f02,233034,164606
Northwestern Region,#e7298a,7322,9785
Southern Region,#e6ab02,28399,20489
Southern Peninsula,#66a61e,27829,15715
Westfjords,#1b9e77,7115,8656
Western Region,#7570b3,16662,13924
