Division,Colour,Population,Population (2001) (People)
Barisal,#e6ab02,9145000,8173718
Chittagong,#e7298a,31980000,24290384
Dhaka,#d95f02,40171000,29180051
Khulna,#66a61e,17252000,14705229
Mymensingh,#e6ab02,12368000,9864665
Rajshahi,#7570b3,20412000,16354723
Rangpur,#1b9e77,17602000,13847150
Sylhet,#66a61e,11291000,7939343
