Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
England,ENG,5,130395.0,54786327.0
Northern Ireland,NIR,6,13843.0,1851621.0
Scotland,SCT,3,78772.0,5373000.0
Wales,WAL,2,20779.0,3099086.0
