Region,Colour,Population,GDP
Eastern Finland,#66a61e,582781,NA
Lapland,#e7298a,186917,NA
Oulu,#e6ab02,458504,NA
Southern Finland,#7570b3,2116914,39540
Western Finland,#d95f02,1848269,47343
