Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Seychelles,SYC,5,69,105006
Syrian Arab Republic,SYR,4,187697,20486043
Chad,TCD,0,1269577,16379185
Togo,TGO,1,56800,8342236
Thailand,THA,3,512960,71389374
Tajikistan,TJK,5,140853,9442817
Turkmenistan,TKM,0,489065,6204366
Timor-Leste,TLS,1,14651,1289754
Tonga,TON,0,192,104873
Trinidad and Tobago,TTO,1,4877,151390
Tunisia,TUN,3,155029,12106251
Türkiye,TUR,0,780830,83811681
Tuvalu,TUV,3,1,10998
"China, Taiwan Province of China",TWN,2,35783,23800896
United Republic of Tanzania,TZA,3,940105,60771966
Uganda,UGA,1,241763,43685863
Ukraine,UKR,3,598072,44090693
Uruguay,URY,0,177702,3428271
United States of America,USA,1,9482272,335388238
Uzbekistan,UZB,4,448710,33243463
Holy See,VAT,1,0,5250
Saint Vincent and the Grenadines,VCT,1,255,104712
Venezuela (Bolivarian Republic of),VEN,5,911905,28628832
Viet Nam,VNM,2,327570,96203595
Vanuatu,VUT,4,10149,307972
Samoa,WSM,5,2812,213059
Kosovo (under UNSC res. 1244),XKX,0,10654,1675138
Yemen,YEM,0,452439,31927129
South Africa,ZAF,1,1220082,58466143
Zambia,ZMB,0,751474,18654918
Zimbabwe,ZWE,5,390822,15505226
