Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Brest,BR,1,32300.0,1347000.0
Gomel,HO,2,40400.0,1386600.0
Grodno,HR,4,25000.0,1025800.0
Mogilev,MA,5,29000.0,1023000.0
Minsk,MI,6,40800.0,1472000.0
Minsk City,HM,4,348.8,2020600.0
Vitebsk,VI,3,40100.0,1133400.0
