Region,Colour,Population,GDP
Brest,#66a61e,1347000,5318784440
Gomel,#e7298a,1386600,5680649224
Grodno,#7570b3,1025800,4649256104
Mogilev,#e6ab02,1023000,3905212616
Minsk,#d95f02,1472000,8336094080
Minsk City,#7570b3,2020600,15224452016
Vitebsk,#1b9e77,1133400,4189099648
