Region,Colour,Population,Population (1992) (People)
'Asir,#e7298a,2261618,1340168
Al Bahah,#d95f02,487108,332157
Al Hudud ash Shamaliyah,#e6ab02,375310,229060
Al Jawf,#1b9e77,520737,268228
Al Madinah,#66a61e,2188138,1084947
Al Quassim,#e7298a,1455693,750979
Ar Riyad,#1b9e77,8446866,3834986
Ash Sharqiyah,#d95f02,5028753,2575820
Ha'il,#d95f02,716021,411284
Jizan,#66a61e,1603659,865961
Makkah,#e6ab02,8803545,4467670
Najran,#7570b3,595705,300994
Tabuk,#7570b3,930507,486134
