Province,Colour,Population,GDP
Eastern Cape,#e7298a,6712300,22072866667
Free State,#66a61e,2887500,14523266667
Gauteng,#7570b3,15176100,100472000000
KwaZulu-Natal,#e6ab02,11289100,46148133333
Limpopo,#1b9e77,5982600,20779066667
Mpumalanga,#e7298a,4592200,21581466667
North West,#d95f02,4027200,18648866667
Northern Cape,#7570b3,1263900,6058866667
Western Cape,#e6ab02,6844300,39736200000
