County,Colour,Population,Population (2000) (People)
Harju,#7570b3,605027,525644
Hiiu,#7570b3,9315,10440
Ida-Viru,#e6ab02,134259,174853
Jarva,#1b9e77,30174,37879
Jogeva,#d95f02,28441,36890
Laane,#66a61e,20444,24033
Laane-Viru,#66a61e,58862,71808
Parnu,#e6ab02,86176,95861
Polva,#e7298a,24647,29821
Rapla,#e7298a,33282,36837
Saare,#d95f02,33083,35951
Tartu,#1b9e77,153316,153963
Valga,#d95f02,28204,34589
Vilijandi,#7570b3,46160,57974
Voru,#1b9e77,35415,43509
