Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Brunei,BRN,1,5787,447000
Indonesia,IDN,2,1864453,266998000
Cambodia,KHM,1,186564,16494000
Laos,LAO,2,245875,7163000
Myanmar,MMR,3,722052,53019000
Malaysia,MYS,4,330620,32801000
Philippines,PHL,5,287132,108307000
Singapore,SGP,3,600,5670000
Thailand,THA,5,531279,67913000
Vietnam,VNM,6,348337,95494000
