District,Colour,Population,Population (1983) (People)
HaDarom,#7570b3,1302000,478700
Haifa,#d95f02,1032800,575300
HaMerkaz,#e6ab02,2196100,830700
HaZafon,#1b9e77,1397500,605400
Jerusalem,#e7298a,1133700,472900
Tel Aviv,#66a61e,1427200,1000200
