Municipality,Colour,Population,Population (1986) (People)
Al Daayen,#7570b3,54339,2408
Al Khor,#d95f02,202031,9968
Al Rayyan,#e6ab02,605712,74048
Al Shamal,#e7298a,8794,4339
Al Wakrah,#1b9e77,299037,21273
Al-Shahaniya,#e7298a,187571,12841
Doha,#d95f02,956457,234753
Umm Salal,#66a61e,90835,9448
