Region,Colour,Population,GDP
Burgenland,#7570b3,288229,8674.74
Carinthia ,#e7298a,557371,20474.5
Lower Austria ,#e7298a,1636287,58421.9
Salzburg,#d95f02,538258,28362.7
Styria ,#e6ab02,1221014,47070.6
Tyrol ,#66a61e,728537,34523.6
Upper Austria ,#1b9e77,1436791,63730.3
Vienna,#66a61e,1794770,95782.4
Vorarlberg,#e6ab02,378490,18357.2
