Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Switzerland,CHE,0,41293,8606431
Syria,SYR,1,187697,20486043
Taiwan,TWN,3,35783,23800896
Tajikistan,TJK,2,140853,9442817
Tanzania,TZA,5,940105,60771966
Thailand,THA,2,512960,71389374
Timor-Leste,TLS,1,14651,1289754
Togo,TGO,0,56800,8342236
Tonga,TON,2,192,104873
Trinidad & Tobago,TTO,4,4877,151390
Tunisia,TUN,5,155029,12106251
Turkey,TUR,4,780830,83811681
Turkmenistan,TKM,0,489065,6204366
Tuvalu,TUV,2,1,10998
Uganda,UGA,3,241763,43685863
Ukraine,UKR,5,598072,44090693
United Arab Emirates,ARE,3,70146,9247550
United Kingdom,GBR,0,250279,66951174
United States,USA,5,9482272,335388238
Uruguay,URY,0,177702,3428271
Uzbekistan,UZB,4,448710,33243463
Vanuatu,VUT,1,10149,307972
Vatican City,VAT,2,0,5250
Venezuela,VEN,0,911905,28628832
Vietnam,VNM,4,327570,96203595
Western Sahara,ESH,5,269158,551245
Yemen,YEM,5,452439,31927129
Zambia,ZMB,1,751474,18654918
Zimbabwe,ZWE,4,390822,15505226
