Parish,Colour,Population,Population (1963) (People)
Andorra la Vella,#e6ab02,23279.75,4038
Canillo,#e6ab02,4816.5,426
Encamp,#7570b3,12041.25,1096
Escaldes-Engordany,#d95f02,15252.25,3176
La Massana,#e7298a,10435.75,601
Ordino,#66a61e,4816.5,381
Sant Julia de Loria,#1b9e77,9633,1638
