Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Bruxelles,BRU,5,161.0,1191604.0
Vlaanderen,VLG,1,13522.0,6516011.0
Wallonie,WAL,2,16844.0,3614473.0
