Governorate,Colour,Population,Population (1996) (People)
Akkar,#e6ab02,423596,198174
Baalbak-Hermel,#7570b3,457932,196024
Beirut,#d95f02,433249,407403
Beqaa,#d95f02,534342,203867
Mount Lebanon,#1b9e77,1802238,1145459
Nabatieh,#e6ab02,383839,205412
North,#66a61e,790951,472436
South,#e7298a,590078,283057
